Mito,Mito-IMS,Mito-Matrix,Mito-MIM,Mito-MOM,OXPHOS,mtComplexI,PlasmaMembrane,Golgi,Lysosome,LysoTMs,ER,Endosome,EndoType,Cytoplasm,Nucleus,Autophagy,Autophagy_det,SynGO,Endo_iN_curated_Hundley,SynapseSVs,Presynaptic,Postsynaptic,EndoDetailed,EndoDetailLoac,NeuroDev,EndoLyso,EarlyEndosome,RecyclingEndosome,SVfusion,Svendocytosis,Svexocytosis
ALDH1L1,,POLRMT,COX4I1,AGPAT4,SDHAF2,,ANO4,COG7,LAMTOR4,0,P4HA2,CHMP4B,early_endosome,ARHGDIB,GINS3,TEX264,Receptor,AP1G2,TMEM59,CPLX3,GNAL;GNAS,CPSF2,SORL1,Recycling,,TMEM59,DDHD2,TRAPPC10,,,
ALDH1L2,,ISCU,NDUFS6,PMAIP1,COX7A2L,,ANO6,COG8,LAMTOR5,0,PDIA3,CLINT1,early_endosome,ARHGDIG,OTUD3,TM9SF1,Other,AP1M1,VAMP4,CSPG5,GNAQ,CRMP1,RABEP1,Recycling,,VAMP4,DENND10,VAMP2,,,
ALDH2,,RTN4IP1,COX5B,BIK,SDHD,,ANO8,COPA,LAPTM4A,4,PDIA4,CLTA,early_endosome,ARHGEF10L,ZC3H12D,TOLLIP,Receptor,AP1S1,ECE1,CTBP1,GNB5,CRTC1,EHD4,Recycling,,ECE1,DENND4A,VAMP3,,,
ALDH3A2,,OGDHL,NDUFA5,TOMM20L,SLC25A23,,ANO9,COPB1,LAPTM4B,4,PDIA5,CLTB,early_endosome,ARHGEF16,CPEB4,TRIM5,Receptor,AP1S2,TBC1D5,CTBP2,GPC4,CTTN,GRIPAP1,Recycling,,TBC1D5,DENND4C,VAMP8,,,
ALDH4A1,,BCKDK,NDUFB6,MYO19,C2orf69,,ANPEP,COPB2,LAPTM5,5,PDIA6,CLTC,early_endosome,ARHGEF3,CRYAA,TSC2,Other,AP2A1,RAB7A,CTNNB1,GPM6A,CUL3,EHD1,Recycling,,RAB7A,DISC1,WDR44,,,
ALDH5A1,,GFM2,SLC25A1,SEPTIN4,COX15,,ANTXR1,COPE,LGMN,0,PLOD1,CLTCL1,early_endosome,ARL14EP,TCEAL7,ULK1,Core,AP2A2,AP2B1,CTSD,GRB2,CYFIP1,RABGEF1,Recycling,,AP2B1,DKFZp686A1765,A0A3B3ITR4[p],,,
ALDH6A1,,MCAT,TIMM50,NEU4,MT-ND3,,ANXA2,COPG1,LIPA,0,PLOD2,CMTM4,recycling_endosome,ARMC5,EEF1D,ULK2,Core,AP2B1,ATP11C,CXADR,GRID2,CYFIP2,RAB11FIP5,Early,,ATP11C,DNM1,A8K6Q8[p],,,
ALDH7A1,,IBA57,SLC25A42,MCL1,MT-ND2,,ANXA6,COPG2,LMBRD1,9,PLOD3,CMTM7,recycling_endosome,ARMS2,GINS4,UVRAG,Core,AP2M1,VPS29,DGKI,GRK2,CYLD,ATP11C,Early,,VPS29,EEA1,,,,
ALDH9A1,,DAP3,BCS1L,PLD6,MT-ND1,,AOC3,COPZ1,MAN2B1,0,POFUT1,COCH,early_endosome,ARPP19,LARP6,WDFY3,Other,AP2S1,ABHD17B,DGKQ,GRK3,CYTH2,ATP11B,Early,,ABHD17B,ENTR1,,,,
ALKBH1,,SDHAF1,NDUFAF1,TOMM34,PPIF,,AP2A1,COPZ2,MAN2B2,0,POGLUT1,COLEC12,recycling_endosome,ARPP21,ZNF649,WDR45,Core,AP3B2,PIK3R4,DIAPH1,HIP1,DACT1,STX12,Early,,PIK3R4,F8A1,,,,
ALKBH7,,MRPS17,NDUFB10,CASP8,UQCC2,,AP2A2,CSGALNACT1,MANBA,0,PPIB,COMMD1,early_endosome,AS3MT,ZKSCAN3,WDR45B,Core,AP3D1,BECN1,DMXL2,HSPA8,DBNL,RAB14,Early,,BECN1,FAM234B,,,,
AMACR,,ADHFE1,COQ8A,BCL2L1,ATP5PB,,AP2B1,CSGALNACT2,MCOLN1,6,PRKCSH,COMMD10,early_endosome,ASAP3,TIGD6,WIPI1,Core,AP3M1,NAPB,DNAJC5,IGSF11,DCLK1,ATP9A,Early,,NAPB,FKBP15,,,,
AMT,,NFS1,ACADVL,ARMC10,ABCD1,,AP2M1,DAOA,MCOLN2,6,PXDN,COMMD2,early_endosome,ASB6,NUDT16L1,WIPI2,Core,AP3M2,GAPDH,DNAJC6,IL1RAP,DCX,RAB4A,Early,,GAPDH,GABARAPL2,,,,
ANGEL2,,MRPL17,COQ4,MIEF2,ATP5F1D,,AP2S1,DENND4B,MCOLN3,6,RCN1,COMMD3-BMI1,early_endosome,ASB8,VPS25,ZFYVE1,Core,AP3S1,NTRK3,DNM1,IL1RAPL1,DDN,RNF11,Early,,NTRK3,GAK,,,,
ANTKMT,,TACO1,NDUFA2,GPAT2,ATP5MF,,APCDD1,DENND5A,MFSD12,12,RCN3,COMMD4,early_endosome,ASDURF,CUX1,,,AP3S2,ATP6AP1,DNM1L,IL1RAPL2,DGKB,CMTM6,Early,,ATP6AP1,GATD1,,,,
APEX1,,PPTC7,NDUFS5,BOK,SLC25A33,,APLNR,DOP1A,MFSD8,12,SDF2,COMMD5,early_endosome,ASRGL1,TPRXL,,,APBA1,AP1B1,DNM2,ITGA2,DGKQ,SORL1,Early,,AP1B1,GDI1,,,,
APOO,,MRPL11,CRAT,MIGA1,NDUFB10,,APOBR,DOP1B,MIOS,0,SDF2L1,COMMD6,early_endosome,ASS1,FABP5,,,APBA2,PLXNA2,DNM3,KALRN,DIP2A,RABEP1,Early,,PLXNA2,GDI2,,,,
APOOL,,MRPL13,PRODH,BBC3,COX7A2,,APOLD1,EBAG9,MON1B,0,SELENOF,COMMD7,early_endosome,ATG10,BUD13,,,APBB1,RAB1B,DNMBP,KCNJ6,DISC1,EHD4,Early,,RAB1B,GET4,,,,
ARF5,,OXCT1,COX7A2,BAD,NDUFA10,,APPL1,EIPR1,MPO,0,SERPINH1,COMMD8,early_endosome,ATG3,CREB3L3,,,APC,M6PR,DOC2A,KIF1B,DIXDC1,GRIPAP1,Early,,M6PR,GGA2,,,,
ARG2,,PDK2,TMEM126A,BCL2,NDUFC2,,AQP1,ENTPD4,NAAA,0,SIL1,COMMD9,early_endosome,ATG4A,TRAF4,,,APC2,ZFYVE9,DOC2B,KIF21A,DLG5,EHD1,Early,,ZFYVE9,H0YC42[p],,,,
ARL2,,ALAS1,SLC25A30,BCL2A1,ATP5F1A,,AQP10,ENTPD6,NAGA,0,SSR1,CPE,early_endosome,ATG4B,SNRNP25,,,APH1A,TMEM9B,DOCK1,KIF2C,DMD,RABGEF1,Early,,TMEM9B,HEATR5B,,,,
ARMC1,,MRPL33,BDH1,BCL2L2,MT-CYB,,AQP3,EXTL3,NAGLU,0,SUMF2,CRACR2A,recycling_endosome,ATG4C,NOP2,,,APLP2,ATP11B,DTNBP1,LINGO1,DNAJB1,RAB11FIP2,Recycling,,ATP11B,HTT,,,,
ARMC10,,MTO1,ABCB7,DMPK,COX7C,,AQP9,FAM20B,NEU1,0,TBL2,CRYZL1,early_endosome,ATXN2,NTMT1,,,APOA4,MON1B,DVL1,LRFN2,DNM3,RAB12,Recycling,,MON1B,IFITM3,,,,
ARMCX1,,LIAS,NDUFA7,PRKN,ATP7A,,ARF6,FAM91A1,NPC1,13,TMEM38B,CSNK1G2,recycling_endosome,ATXN7L3B,RSRP1,,,APOE,SORT1,EFR3A,LRFN3,DOCK1,ABHD17B,Recycling,,SORT1,IGF2R,,,,
ARMCX2,,SUCLG2,TIMM17A,BCL2L10,UQCRHL,,ARHGEF39,FHDC1,NPC2,0,TMTC3,CSNK1G3,recycling_endosome,ATXN8OS,RNF126,,,APP,FKBP15,EHD1,LRFN4,DOCK10,RAB35,Recycling,,FKBP15,IST1,,,,
ARMCX3,,FDX1,ALDH6A1,AKAP10,NDUFAF1,,ARL13B,FKTN,OSTM1,1,TOR1B,CUL3,early_endosome,AXIN2,METTL22,,,APPL1,TM9SF3,EPN1,LRFN5,DOCK4,RAB10,Recycling,,TM9SF3,ITCH,,,,
ARMCX6,,MRPS28,TIMM22,SERAC1,,,ARRDC1,FNDC3A,PCYOX1,0,TOR3A,DCTN6,early_endosome,AZI2,ADI1,,,ARC,PACS2,EPS15;EPS15L1,LRRC4B,DPYSL2,SCAMP2,Recycling,,PACS2,ITM2C,,,,
ATAD1,,ECH1,L2HGDH,STX17,,,ART3,FUT1,PIP4P1,2,TTC13,DDHD2,early_endosome,BAG4,DUSP26,,,ARF1,HYOU1,EPS15L1,LRRTM1,DSTN,ITSN1,Recycling,,HYOU1,KIF16B,,,,
ATAD3A,,GATB,SLC25A5,RTL10,,,ART4,FUT10,PLA2G15,0,TTC17,DENND10,early_endosome,BBOX1,AQP1,,,ARF4,SURF4,ERC1,LRRTM3,DTNB,ITGB1,Recycling,,SURF4,LAMTOR2,,,,
ATAD3B,,ERAL1,SLC25A12,BCL2L11,CYCS,,ASIC1,FUT11,PLBD1,0,TXNDC5,DENND4A,early_endosome,BCAS1,DDX23,,,ARF6,RAB22A,ERC2,MAGI1,DVL1,STX6,Recycling,,RAB22A,LMBRD1,,,,
ATP23,,MRPL28,NDUFB2,SPIRE1,NDUFS6,,ASIC2,FUT2,PLBD2,0,UFL1,DENND4C,early_endosome,BCAS4,MKI67,,,ARFGAP1,SCFD1,EXOC4,MAP1A,DYNLL2,RAB11B,Recycling,,SCFD1,LYSMD1,,,,
ATP5F1A,,TSFM,AFG1L,ARMCX1,NIPSNAP2,,ASIC5,FUT3,PPT1,0,UGGT1,DISC1,early_endosome,BCAT1,ZNF354A,,,ARFGAP3,AP3M1,FBXL20,MAP1LC3B,EEF1A1,SCAMP1,Recycling,,AP3M1,MCF2L,,,,
ATP5F1B,,FXN,ATP5PB,ARMCX3,NDUFS2,,ATP11A,FUT4,PPT2,0,ALDH3A2,DKFZp686A1765,early_endosome,BCDIN3D,EXOSC10,,,ARFGEF2,WASHC5,FBXO45,MDGA1,EEF2,SYNGR2,Recycling,,WASHC5,MITD1,,,,
ATP5F1C,,NFU1,COX7C,PIGBOS1,COX4I2,,ATP11C,FUT5,PRCP,0,CISD2,DNM1,early_endosome,BCL2A1,CDC14B,,,ARHGAP12,CPD,FCHO2,MDGA2,EEF2K,SCAMP2,Recycling,,CPD,MTMR8,,,,
ATP5F1D,,YARS2,CHCHD3,,DGUOK,,ATP13A3,FUT6,PSAP,6,COMT,ECE1,recycling_endosome,BDH2,LPXN,,,ARHGAP22,KIDINS220,GAPDH,MGLL,EGLN1,SNX18,Recycling,,KIDINS220,NAPA,,,,
ATP5F1E,,MRPL21,COQ10B,,NDUFA7,,ATP1A1,FUT7,RNF13,1,DHCR24,EEA1,early_endosome,BECN2,MED18,,,ARHGAP32,SNX32,GIT1,MRTFA,EIF4A3,RAB8A,Recycling,,SNX32,NID1,,,,
ATP5IF1,,ALDH4A1,SLC25A10,,NDUFB2,,ATP1A2,FUT8,RNF152,1,DHRS7B,ENTR1,early_endosome,BEX5,ZBTB49,,,ARHGAP33,TAX1BP1,GIT2,MRTFB,EIF4B,STX7,Early,,TAX1BP1,NISCH,,,,
ATP5MC1,,ACADSB,SLC25A13,,NDUFB8,,ATP1A3,FUT9,RNF167,1,DHRSX,F8A1,early_endosome,BHMT,SPINDOC,,,ARHGAP39,CALR,GNAO1,NAPA,EIF4E,TOM1,Early,,CALR,NRSN2,,,,
ATP5MC2,,MRPS9,SLC25A19,,NDUFB4,,ATP1A4,GAL3ST1,RPTOR,0,EMC2,FAM234B,early_endosome,BICC1,HP1BP3,,,ARHGAP44,RAB8B,GNB2,NAPB,EIF4EBP2,EEA1,Early,,RAB8B,NSF,,,,
ATP5MC3,,MRPL15,SMDT1,,NDUFA3,,ATP1B1,GAL3ST2,SCARB2,2,KIAA0100,FCGRT,recycling_endosome,BIRC8,RBPMS2,,,ARHGDIA,TFRC,GNG7,NECAB2,EIF4G1,KIF16B,Early,,TFRC,OCRL,,,,
ATP5MD,,MRPL24,COX7A1,,ATP5MG,,ATP1B2,GAL3ST3,SGSH,0,LAMC1,FKBP15,early_endosome,BLMH,DHRS4,,,ARHGEF15,RPS14,GPR151,NECAP1,ELAVL1,ATP7A,Early,,RPS14,ORAI2,,,,
ATP5ME,,HSPD1,COX14,,NDUFC1,,ATP1B3,GAL3ST4,SIAE,0,NCEH1,GABARAPL2,early_endosome,BLOC1S3,RNH1,,,ARHGEF2,RAB18,HSPA8,NLGN1,ELAVL4,ZFYVE9,Early,,RAB18,PAAT,,,,
ATP5MF,,AK3,NDUFA12,,NDUFB3,,ATP2B1,GALNT1,SLC15A3,12,PRDX4,GAK,early_endosome,BLOC1S4,KIF23,,,ARHGEF7,PPIB,HTR1B,NLGN2,ELMO1,TMEM9B,Early,,PPIB,PCNX1,,,,
ATP5MF-PTCD1,,MIPEP,GPD2,,CYC1,,ATP2B2,GALNT10,SLC15A4,12,RDH11,GATD1,early_endosome,BLVRA,BRD9,,,ARHGEF9,RAB1A,HTR1D,NOS1AP,ENAH,FKBP15,Early,,RAB1A,PCSK1N,,,,
ATP5MG,,LYRM7,NDUFA10,,,,ATP2B3,GALNT11,SLC17A5,12,SPTLC2,GDI1,early_endosome,BLVRB,BASP1,,,ARL6IP5,IGF2R,ITSN1,NPTX2,EPB41L1,WASHC5,Early,,IGF2R,PI4K2A,,,,
ATP5MPL,,PCCB,NDUFC2,,,,ATP2B4,GALNT12,SLC29A3,11,TMEM205,GDI2,early_endosome,BMX,ASCC1,,,ARL8A,CLCN3,KCNC3,NPY2R,EPB41L3,RAB1A,Early,,CLCN3,PIK3C3,,,,
ATP5PB,,MRPS7,MT-ATP6,,,,ATP4A,GALNT13,SLC2A6,12,APOL2,GET4,early_endosome,BOLL,EIF3E,,,ARL8B,STAM2,KCNH1,NPY5R,EPHA7,STAM2,Early,,STAM2,PIK3R4,,,,
ATP5PD,,MRPL3,MT-CO2,,,,ATP4B,GALNT14,SLC38A7,11,CANX,GFOD1,recycling_endosome,BRAP,MACROD2,,,ARPC1A,VPS13C,KIF1A,NRG1,EPN1,TGFBRAP1,Early,,VPS13C,PIKFYVE,,,,
ATP5PF,,PCCA,TIMM21,,,,ATP7A,GALNT15,SLC38A9,11,TMX1,GFOD2,recycling_endosome,BRINP1,F8A1,,,ARPC2,SEC22B,LAMP1,NRXN1,ERBIN,SNX3,Early,,SEC22B,PLEKHF2,,,,
ATP5PO,,MCCC1,NDUFA8,,,,ATP7B,GALNT16,SLC49A4,12,ABHD12,GGA2,early_endosome,C11orf21,TRIM66,,,ARPC3,AP1G1,LAMP5,NTNG2,EXOC7,WDFY1,Early,,AP1G1,PLEKHM2,,,,
ATPAF1,,MRPS12,GLS,,,,AVPR1A,GALNT17,SLC66A1,7,ABHD6,GPRC5B,recycling_endosome,C12orf4,CEP290,,,ARPC5,LMAN2,LPAR1,NTRK2,FAAH,STAM,Early,,LMAN2,PML,,,,
ATPAF2,,PDK1,NDUFB11,,,,AVPR1B,GALNT18,SLC7A14,15,ACSL3,H0YC42[p],early_endosome,C12orf57,NHEJ1,,,ARPC5L,AP1M1,LRRK2,NTRK3,FAM107A,RAB5A,Early,,AP1M1,PPP1R21,,,,
ATPSCKMT,,MRPL49,SLC25A15,,,,AVPR2,GALNT2,SMPD1,0,ADAM10,HEATR5B,early_endosome,C1orf198,NANOG,,,ARRB1,VPS33B,MADD,OPHN1,FBXO2,RUFY1,Early,,VPS33B,PRKD1,,,,
AUH,,ECHDC2,NDUFV3,,,,AXL,GALNT3,SZT2,0,ADPGK,HTT,early_endosome,C20orf203,ADCY10,,,ARRB2,DAGLB,MAL2,PDLIM5,FGF22,ZFYVE16,Early,,DAGLB,PRKD3,,,,
AURKAIP1,,HIBADH,STOML2,,,,B2M,GALNT4,TM6SF1,9,AGPAT1,IFITM3,early_endosome,C4orf46,TRERF1,,,ASAP1,TGFBRAP1,MARCKSL1,PFN1,FGF7,HGS,Early,,TGFBRAP1,PSEN1,,,,
BAD,,MRPL19,SLC25A25,,,,BANF1,GALNT5,TMEM175,12,AGPAT2,IGF2R,early_endosome,CA1,H2BC17,,,ASIC1,STX12,MCTP2;MCTP1,PFN2,FGFR1,VPS8,Early,,STX12,PTPN9,,,,
BAK1,,MRPL36,CCDC90B,,,,BASP1,GALNT6,TMEM192,4,AGPAT3,IST1,early_endosome,CA3,NFYA,,,ASIC2,HSP90B1,MYLK,PLEKHG5,FILIP1,DNAJC13,Early,,HSP90B1,PXK,,,,
BAX,,FARS2,MPC1L,,,,BCAM,GALNT7,TMEM63A,10,ALG1,ITCH,early_endosome,CA7,MCC,,,ATAD1,SNX3,MYO5B,PPFIA1;PPFIA2;PPFIA3;PPFIA4,FLNA,WASHC2A,Early,,SNX3,Q59FX6[p],,,,
BBC3,,ALDH9A1,THEM4,,,,BCL2L12,GALNT8,TPCN1,12,ALG2,ITFG1,recycling_endosome,CAB39,ZNF513,,,ATG16L1,PDIA3,NAPA,PPFIA2,FLRT2,PTPN23,Early,,PDIA3,RAB14,,,,
BCAT2,,MRPS18C,ATAD3A,,,,BDKRB1,GALNT9,TPCN2,12,ALG5,ITGB1BP1,recycling_endosome,CABP5,TBX3,,,ATG5,WDFY1,NAPB,PPFIA4,FMNL2,OCRL,Early,,WDFY1,RAB21,,,,
BCKDHA,,MARS2,PTGES2,,,,BDKRB2,GALNTL6,TPP1,0,ALG9,ITM2C,early_endosome,CACNB3,FAM193B,,,ATG7,PDIA3,NCS1,PPFIBP2,FMR1,RAB5C,Early,,PDIA3,RAB31,,,,
BCKDHB,,FDXR,SQOR,,,,BEST1,GANAB,TSPAN1,4,AMFR,KIAA1549,recycling_endosome,CAPN3,AXIN1,,,ATG9A,RAB14,NPY,PPP1CA,FXR1,SNX4,Early,,RAB14,RAB4A,,,,
BCKDK,,GATC,SCO1,,,,BEST2,GASK1B,WDR24,0,ANKLE2,KIF16B,early_endosome,CAPS,H2BC3,,,ATM,LRP1,NPY1R,PPP1CC,FXR2,WASHC4,Early,,LRP1,RAB4B,,,,
BCL2,,TRAP1,UQCRB,,,,BEST3,GBF1,WDR59,0,ANO10,LAMTOR2,early_endosome,CAPSL,PUS7,,,ATP1A3,STAM,NRXN1,PPP1R9A,FZD9,SNX8,Early,,STAM,RAB5A,,,,
BCL2A1,,ACAD8,ATP5PD,,,,BEST4,GBGT1,,,APMAP,LDLR,recycling_endosome,CARD10,S100A5,,,ATP2B1,RAB5A,NSF,PRAF2,GAPDH,SNX30,Early,,RAB5A,RAB5B,,,,
BCL2L1,,ALDH2,ATP5MG,,,,BICD2,GCC1,,,ARL6IP5,LMBRD1,early_endosome,CARD14,MEF2A,,,ATP2B2,DNM2,OPHN1,PRKACA,GDA,SNX6,Early,,DNM2,RAB5C,,,,
BCL2L10,,PPIF,SLC25A51,,,,BLK,GCC2,,,ASPH,LMTK2,recycling_endosome,CARD17,ZNF366,,,ATP2B3,RAB35,OPRD1,PRKN,GHRL,GGA1,Early,,RAB35,RAB7A,,,,
BCL2L11,,IVD,SPG7,,,,BMPR1A,GCNT1,,,ATF6,LNPEP,recycling_endosome,CARD9,NLRP2B,,,ATP2B4,STX5,OPRK1,PRNP,GHSR,SNX5,Early,,STX5,RAB8A,,,,
BCL2L13,,ETHE1,ATP5MC3,,,,BMPR1B,GCNT2,,,ATP13A1,LRP1,recycling_endosome,CARS1,ASCL1,,,ATP6AP1,HYOU1,OSBPL2,PRSS12,GIPC1,ANKFY1,Early,,HYOU1,RAB9A,,,,
BCL2L2,,MRPL20,PNPLA8,,,,BMPR2,GCNT3,,,ATP2A2,LRP2,recycling_endosome,CASKIN1,ATAD2B,,,ATP6AP2,RUFY2,OTOF,PRUNE2,GIT1,SNX27,Early,,RUFY2,RABGEF1,,,,
BCO2,,MRPS21,TIMM17B,,,,BOC,GCNT4,,,ATP6AP2,LYSMD1,early_endosome,CASKIN2,GTF2F2,,,ATP6V0A1,RUFY1,P2RX1,PTK2B,GNA13,APP,Early,,RUFY1,RBSN,,,,
BCS1L,,ACAA2,SLC25A26,,,,BRS3,GCNT7,,,AUP1,MCF2L,early_endosome,CASP3,GCHFR,,,ATP6V0A4,EPB41L3,P2RX2,PTN,GNAI1,SNX17,Early,,EPB41L3,RNF126,,,,
BDH1,,MRPL30,PRODH2,,,,BSG,GFY,,,B3GLCT,MICALL1,recycling_endosome,CASP6,PRDX5,,,ATP6V0C,GOT1,P2RY1,PTPRD,GNAL;GNAS,CHMP1A,Early,,GOT1,ROGDI,,,,
BID,,DNAJA3,COX6A2,,,,BST1,GGA1,,,BCAP29,MITD1,early_endosome,CASP7,PRDX6,,,ATP6V0D1,GAK,P2RY2,PTPRN2,GRID1,SNX7,Early,,GAK,RPS6KC1,,,,
BIK,,MRPS34,SLC30A9,,,,BTLA,GGA2,,,BCAP31,MRC2,recycling_endosome,CASP8,ZMIZ1,,,ATP6V0E2,EHBP1,P2RY4,PTPRS,GRIP1,ANXA1,Early,,EHBP1,RUFY1,,,,
BLOC1S1,,ETFB,TAMM41,,,,BTN2A1,GGA3,,,BNIP1,MTMR8,early_endosome,CASTOR1,EP300,,,ATP6V1A,ATP9A,PACSIN1,RAB1A,GRIPAP1,SCPEP1,Endosome,,ATP9A,RUFY2,,,,
BNIP3,,ATP5IF1,TIMM23,,,,BTN3A1,GGTA1P,,,BRI3BP,MYADM,recycling_endosome,CASTOR2,HSPB3,,,ATP6V1B1,SCYL2,PARK7,RAB26,HIP1R,CTSC,Endosome,,SCYL2,RUSC1,,,,
BNIP3L,,ACSF3,RMND1,,,,BTN3A2,GKAP1,,,C16orf58,NAPA,early_endosome,CBR1,CHMP4B,,,ATP6V1B2,RPL7,PCLO,RAB33B,HNRNPA3,PPT1,Endosome,,RPL7,RUSC1,,,,
BOK,,POLDIP2,NDUFAB1,,,,BTN3A3,GLCE,,,CCDC47,NHERF2,recycling_endosome,CBR3,NFATC3,,,ATP6V1C1,ZFYVE16,PDYN,RAB6A,HNRNPAB,SCARB2,Endosome,,ZFYVE16,SERINC1,,,,
BOLA1,,PDK3,COQ2,,,,C10orf76,GLG1,,,CDIPT,NID1,early_endosome,CCDC125,RALGDS,,,ATP6V1D,AP2A1,PENK,RAB6B,HNRNPK,ASAH1,Endosome,,AP2A1,SERINC3,,,,
BOLA3,,ME3,PDSS2,,,,C18orf32,GLIPR2,,,CDK5RAP3,NISCH,early_endosome,CCM2,TAF10,,,ATP6V1E1,WDR7,PHF24,RAB8B,HNRNPM,LIPA,Endosome,,WDR7,SGTA,,,,
BPHL,,MRPL22,NDUFS3,,,,C2CD2,GNPNAT1,,,CDKAL1,NKIRAS2,recycling_endosome,CCNG2,ACTB,,,ATP6V1F,RAB10,PICALM,RABAC1,HOMER1,LAMP2,Endosome,,RAB10,SLC12A9,,,,
C12orf65,,IDH2,ABCB10,,,,C2CD5,GNPTAB,,,CEPT1,NRSN2,early_endosome,CCS,CHAMP1,,,ATP6V1G1,SCAMP2,PICK1,RAPGEF4,HPCA,BORCS6,Endosome,,SCAMP2,SMAP2,,,,
C15orf48,,GCDH,CKMT2,,,,C2orf88,GNPTG,,,CERS2,NSF,early_endosome,CCT2,DLG1,,,ATP6V1G2,EGFR,PIK3C3,RAPH1,HSPA8,CTSB,Endosome,,EGFR,SNAP29,,,,
C15orf61,,MRPL47,ACAD9,,,,C3AR1,GOLGA1,,,CERS5,OCRL,early_endosome,CCT3,L3MBTL3,,,ATP6V1H,PRKAA1,PIP5K1C,RGS4,HTR4,PSAP,Endosome,,PRKAA1,SNN,,,,
C16orf91,,PPA2,COX16,,,,C5AR2,GOLGA2,,,CHP1,ORAI2,early_endosome,CCT6A,FOXL1,,,ATP8A1,IST1,PLD1,RGS7,HTT,TMEM63B,Endosome,,IST1,SNX1,,,,
C1QBP,,MRPL9,FAM210A,,,,CA12,GOLGA3,,,CLCC1,PAAT,early_endosome,CCT6B,SPIN4,,,ATR,RAB4A,PLS3,RGS7BP,ICAM5,FLOT1,Endosome,,RAB4A,SNX12,,,,
C2orf69,,WARS2,NDUFB7,,,,CA4,GOLGA4,,,CLPTM1,PACC1,recycling_endosome,CCT7,FOXC1,,,AURKA,AP2M1,PPFIA2,RMDN3,IL1RAPL1,NAGA,Endosome,,AP2M1,SNX15,,,,
C3orf33,,CBR4,MICOS13,,,,CA9,GOLGA5,,,CLPTM1L,PACSIN3,recycling_endosome,CCT8L1P,FOXF2,,,AVP,HGS,PPFIA3,RNF138,INA,LGALS3BP,Endosome,,HGS,SNX16,,,,
C5orf63,,HAGH,SCO2,,,,CACNA1A,GOLGA7,,,CNPY4,PCNX1,early_endosome,CCT8L2,BACH1,,,AXIN1,VPS8,PPP3CB,RNF216,IQGAP1,NCSTN,Endosome,,VPS8,SNX17,,,,
C6orf136,,MTG1,COX8A,,,,CACNA1H,GOLGA7B,,,CRELD1,PCSK1N,early_endosome,CDC123,MYCNOS,,,BACE1,SFT2D2,PPP3CC,RNF34,IQSEC3,SPAG9,Endosome,,SFT2D2,SNX2,,,,
C8orf82,,MRPS16,MPV17,,,,CACNA1S,GOLGA8A,,,CRELD2,PI4K2A,early_endosome,CDC37,GABPB1,,,BAIAP2,PODXL,PPP3R1,ROGDI,ITGA3,BLOC1S1,Endosome,,PODXL,SNX27,,,,
CA5A,,MTERF2,CHCHD1,,,,CACNG1,GOLGA8B,,,,PIK3C3,early_endosome,,PTPN13,,,BAIAP3,VAPB,PPT1,RPL10,ITSN1,SIDT2,Endosome,,VAPB,SNX29,,,,
CA5B,,ETFRF1,TIMM8A,,,,CACNG4,GOLGA8IP,,,,PIK3R4,early_endosome,,ILF3,,,BCAN,RPL12,PRKAR1B,RPL10A,JAK2,ATP6V1A,Endosome,,RPL12,SNX3,,,,
CARS2,,SLIRP,SLC25A24,,,,CACNG5,GOLGB1,,,,PIKFYVE,early_endosome,,ILF2,,,BCAS1,GNAI3,PRKCA,RPL11,KCNJ6,FLOT2,Endosome,,GNAI3,SNX6,,,,
CASP3,,DHTKD1,MPC1,,,,CACNG6,GOLIM4,,,,PLEKHF2,early_endosome,,PSMA7,,,BCL11A,P4HB,PRKCB,RPL12,KCTD8,ATP6V1F,Endosome,,P4HB,SORL1,,,,
CASP8,,FAHD2A,SLC25A22,,,,CACNG7,GOLM1,,,,PLEKHM2,early_endosome,,NKRF,,,BCL2L1,BACE1,PRKCG,RPL13,KIDINS220,ATP6V1C1,Endosome,,BACE1,SPART,,,,
CASP9,,HSD17B8,SLC25A31,,,,CACNG8,GOLPH3L,,,,PML,early_endosome,,PUS10,,,BCR,LNPEP,PRKN,RPL13A,KIF17,ATP6V1H,Endosome,,LNPEP,SPAST,,,,
CAT,,HINT2,SLC25A18,,,,CADM1,GOLT1A,,,,PODXL,recycling_endosome,,OGT,,,BDNF,POR,PRRT2,RPL14,KIF1A,PI4K2A,Endosome,,POR,SQSTM1,,,,
CBR3,,MRPS5,COX10,,,,CADM2,GOLT1B,,,,PODXL2,recycling_endosome,,USP4,,,BEGAIN,DNAJB6,PSEN1,RPL15,KIF1B,ATP6V1E1,Endosome,,DNAJB6,STAM,,,,
CBR4,,C6orf136,TMEM70,,,,CADM3,GOPC,,,,PPP1R21,early_endosome,,IK,,,BIN1,CLTC,PTPRN2,RPL17,KIF2C,ATP6V1B2,Endosome,,CLTC,STAM2,,,,
CCDC127,,SPRYD4,NOA1,,,,CADM4,GORAB,,,,PRKD1,early_endosome,,REST,,,BLOC1S1,RNF11,RAB10,RPL18,KIF3A,DNAJC5,Endosome,,RNF11,STX8,,,,
CCDC51,,LIPT2,MCUR1,,,,CALCR,GORASP1,,,,PRKD3,early_endosome,,EIF2B5,,,BLOC1S6,DNAJC13,RAB11A,RPL22,KIF3B,ATP6V1G1,Endosome,,DNAJC13,STXBP5,,,,
